fideid, riskscore, gamecount, oprating 
1131176, 140.09337357406923, 26, 1671.8076923076924 
1131710, 131.19807197412067, 96, 2362.5833333333335 
1132199, 131.29551595410481, 50, 2406.84 
1132253, 131.86284662065034, 91, 2427.5824175824177 
1132717, 135.07606284040244, 111, 2338.4954954954956 
1133853, 135.43243039066326, 30, 2243.5333333333333 
1133950, 133.15356586044922, 31, 2384.4193548387098 
1134167, 132.12476147300862, 80, 2430.65 
113433, 130.0835582596265, 22, 2358.181818181818 
113514, 132.46298438422323, 33, 2344.4242424242425 
113522, 140.03835417533273, 21, 2248.904761904762 
1135651, 135.0418323882345, 31, 2170.451612903226 
113581, 136.1781508100004, 39, 2341.0 
1136194, 136.1184311950206, 68, 2415.323529411765 
1136720, 132.09048776552996, 22, 2345.681818181818 
1137158, 133.70458362364653, 36, 2237.0555555555557 
1137565, 137.49671408252505, 66, 2265.3636363636365 
1137590, 134.1815612962146, 26, 2267.6923076923076 
1137778, 136.5693807654496, 26, 2074.153846153846 
1137840, 135.46001027881823, 67, 2360.582089552239 
113816, 136.29231137034165, 61, 2329.8524590163934 
1140396, 136.14690491768997, 33, 2350.3939393939395 
1140825, 132.79216825498926, 40, 1912.175 
1141058, 134.85602489698172, 70, 2300.542857142857 
1141686, 133.42853834714668, 121, 2388.1322314049585 
1141724, 134.86815105108278, 68, 2347.1323529411766 
1141830, 136.65042766475625, 40, 2228.95 
1141880, 136.38431919470776, 32, 2224.09375 
114251, 134.95127069726834, 36, 2231.6666666666665 
1143930, 138.16219227894078, 30, 1919.6666666666667 
1143972, 139.81419221176188, 35, 1930.2571428571428 
1145746, 131.92455105475725, 63, 2241.9841269841268 
1146300, 136.37273190035333, 25, 1671.72 
1147919, 141.6126567002896, 23, 2095.1304347826085 
1148362, 136.25094163198702, 25, 2206.96 
1148486, 134.02247874870034, 50, 2169.58 
1148702, 139.41582882897612, 21, 2124.6190476190477 
1150677, 137.06353122610656, 70, 2234.542857142857 
115177, 132.19527838001656, 24, 2204.6666666666665 
1151967, 131.53113870838743, 38, 2285.7105263157896 
1152254, 135.17900167913442, 89, 2209.2808988764045 
1154141, 134.40308330293604, 26, 2340.230769230769 
1154613, 133.14771070666836, 43, 2115.0232558139537 
1156632, 130.43029876668018, 22, 1567.6818181818182 
1157531, 135.79229944966866, 28, 1521.6785714285713 
1158813, 137.72471793568553, 32, 2121.03125 
1159259, 135.3734639075493, 144, 2384.1805555555557 
1159569, 132.16894223347202, 63, 2264.5714285714284 
1159682, 136.2344030829382, 46, 2201.108695652174 
1159755, 134.76009340286654, 41, 2235.317073170732 
11600047, 133.8195237245415, 23, 2345.391304347826 
11600136, 134.23869822066868, 98, 2336.5102040816328 
11600152, 135.42430127290626, 22, 2140.2272727272725 
11600209, 133.05653750336594, 50, 2133.6 
11600349, 131.84217683241755, 73, 2229.5068493150684 
11600357, 135.88721285003305, 58, 2370.293103448276 
1160036, 132.22009485693818, 27, 2147.4074074074074 
11600454, 134.9522168200475, 119, 2552.6974789915967 
11600659, 136.4916400962288, 23, 2312.3478260869565 
11600748, 134.91231875449478, 49, 2241.0408163265306 
11601124, 134.83518866398975, 40, 2373.525 
11601310, 133.66505533705777, 24, 2192.375 
11601345, 139.99060024618655, 40, 2206.1 
11601388, 133.77283957206748, 94, 2435.978723404255 
11601558, 137.71404970071063, 22, 2232.090909090909 
11601647, 134.28210178976303, 22, 2365.2272727272725 
11601876, 137.59331440291643, 57, 2306.4210526315787 
11602295, 139.93007944890198, 48, 2327.5833333333335 
11602740, 135.70194850542936, 154, 2434.1688311688313 
11602945, 134.32470063815416, 76, 2442.3026315789475 
11602988, 135.4819913490154, 27, 2244.740740740741 
11603542, 134.7300054563057, 36, 2154.3888888888887 
11603984, 133.6367700434491, 22, 2280.090909090909 
11604263, 134.82232242244623, 57, 2360.59649122807 
11604492, 132.77015465062672, 41, 2274.8048780487807 
1160451, 132.36851246244538, 31, 2206.7096774193546 
11606029, 132.15344242421585, 22, 2230.5 
1160664, 131.34722485937576, 41, 2331.7073170731705 
11607386, 140.05508625560134, 22, 2003.0 
1161555, 134.09073699178268, 39, 2316.846153846154 
1163868, 133.21624254921875, 22, 2153.7727272727275 
1163922, 129.49513509195913, 37, 2283.2702702702704 
116459, 135.24306694021277, 36, 2171.3055555555557 
1166042, 138.78912865973015, 43, 2195.0232558139537 
1166760, 134.89339448022523, 55, 2239.4545454545455 
1167677, 133.80065692152778, 48, 2331.7291666666665 
116807, 133.0282010217459, 82, 2403.4024390243903 
1169297, 131.0671522215997, 71, 2190.112676056338 
1169327, 134.47363906341232, 27, 2105.5555555555557 
1170295, 133.01332587956765, 32, 2169.28125 
1170546, 134.7725162735542, 244, 2710.655737704918 
1170694, 134.58565013482533, 49, 2184.918367346939 
1170791, 132.54153872197887, 32, 2176.375 
1170805, 125.04762341089744, 22, 2109.0 
1171097, 135.89369483385227, 75, 2305.5733333333333 
1171259, 141.33807802882964, 27, 2238.777777777778 
117234, 131.35338530717465, 34, 2307.8823529411766 
1172468, 135.58030642848342, 97, 2286.278350515464 
1172590, 130.41605182734787, 30, 2237.6666666666665 
1172883, 131.99848406287828, 26, 2098.653846153846 
1173065, 134.0262737648217, 56, 2365.6964285714284 
1174088, 136.61324382890464, 28, 2112.1071428571427 
1174460, 133.84017368488466, 65, 2191.076923076923 
1175068, 135.24159434016502, 22, 2111.4545454545455 
1175114, 132.40004465882186, 29, 2291.793103448276 
1175602, 141.96307224820572, 27, 1860.111111111111 
1178393, 129.56724406650997, 34, 2153.470588235294 
1179250, 136.22736402175744, 48, 2233.8125 
117927, 133.3331841906092, 79, 2530.0632911392404 
1179632, 135.43098299107658, 22, 1568.1818181818182 
1182730, 133.80005932774054, 71, 2161.943661971831 
1182838, 137.64926425792635, 43, 2297.4418604651164 
1183486, 137.042302581935, 26, 2023.2307692307693 
1183494, 135.2602597800884, 23, 2177.695652173913 
1184008, 140.50202712626213, 25, 2207.52 
1184733, 134.9625413750412, 26, 2143.269230769231 
1184954, 130.94016419501392, 21, 2133.5238095238096 
1184989, 135.6828608686463, 51, 2213.8823529411766 
1185080, 135.70630827703118, 77, 2287.7012987012986 
1185250, 144.55848150764209, 21, 2089.285714285714 
1185357, 137.3133703573936, 40, 2186.475 
1185543, 131.31983825905127, 33, 2341.848484848485 
1185870, 132.2979600970994, 37, 2165.2432432432433 
1185934, 133.86110969217478, 51, 2316.6862745098038 
1186191, 136.07350426769315, 122, 2304.188524590164 
1186221, 136.8105462369838, 23, 1681.695652173913 
1186361, 142.47911760032525, 22, 1220.5 
1187570, 131.9117589211561, 42, 1998.642857142857 
118800, 132.42366470675034, 39, 2202.3846153846152 
1188062, 129.18275864667814, 97, 2408.6494845360826 
1189654, 135.14105696769275, 50, 2339.04 
1190342, 134.57687078129126, 36, 1968.111111111111 
1191365, 133.07959761336494, 35, 2130.6285714285714 
1192051, 131.8218389844435, 34, 2081.323529411765 
1193023, 134.18936273834464, 62, 2281.6290322580644 
1193686, 134.7919589048792, 33, 2056.6363636363635 
1194240, 131.05663460071383, 23, 2093.9565217391305 
1194402, 134.66926939909624, 71, 2250.7464788732395 
1194933, 134.6371746461064, 32, 2077.09375 
1194984, 136.54205902636596, 29, 2152.1724137931033 
1195026, 128.23491160536406, 26, 2079.8846153846152 
1195360, 130.72305863698358, 62, 2305.1129032258063 
1195603, 142.3400515612898, 22, 1205.5 
1196448, 133.8402118004489, 72, 2238.027777777778 
1197576, 132.72703357343363, 58, 2069.7758620689656 
1197800, 143.41108850333816, 24, 1780.4166666666667 
1198785, 133.39489058224876, 24, 1906.2916666666667 
1199498, 133.52034654801943, 21, 2066.095238095238 
1199510, 130.69334415692614, 41, 2062.3414634146343 
1199528, 131.54416153686617, 64, 2195.6875 
12000086, 141.35490582552757, 33, 2229.818181818182 
1200020, 133.23829408532094, 54, 2355.1481481481483 
1200178, 131.21224400419848, 27, 2123.6296296296296 
1200305, 137.0692720056214, 35, 2251.542857142857 
1200372, 133.94694159208802, 102, 2412.892156862745 
1201530, 131.1614775368517, 49, 2360.122448979592 
1201590, 137.13411720435363, 51, 2342.0 
1201930, 132.74370084798255, 56, 2360.0178571428573 
1202200, 136.07733794152622, 28, 2238.4285714285716 
1202758, 134.01169237111685, 105, 2582.3238095238094 
1203100, 129.63303951612895, 22, 2152.818181818182 
1203606, 136.84268097019563, 22, 2076.1363636363635 
1203983, 133.3703226383292, 23, 2015.0869565217392 
1204297, 134.8678008715266, 118, 2490.3050847457625 
1204327, 136.94942664952032, 32, 2249.125 
1205730, 129.22499384843672, 50, 2373.08 
1207660, 134.88424397049636, 46, 2245.3478260869565 
1207822, 133.68172746133305, 129, 2514.5736434108526 
1208110, 135.74147578332432, 39, 2256.128205128205 
1208810, 135.53663447382624, 26, 2082.653846153846 
1208900, 133.7575189299534, 41, 2268.6585365853657 
1208926, 138.30166784010802, 27, 2118.4444444444443 
1209191, 136.61069418864628, 30, 2180.9666666666667 
1210297, 132.90603577516634, 25, 2166.44 
1210319, 137.9795200899863, 24, 2421.3333333333335 
1210920, 133.99696758797612, 57, 2456.9298245614036 
1211668, 136.68991250927306, 48, 2488.2083333333335 
1212915, 140.98010872986015, 41, 2309.4634146341464 
1213261, 139.80589823394916, 29, 2287.4827586206898 
1213300, 134.27400846277692, 50, 2455.92 
1213415, 131.9050680787629, 31, 2226.032258064516 
1213776, 136.27777260688055, 49, 2273.387755102041 
121576, 133.5964494614627, 112, 2387.8035714285716 
1217445, 132.1090363588152, 46, 2268.282608695652 
1217518, 132.8798473109857, 45, 2299.866666666667 
1218417, 133.62858641195717, 31, 2223.6129032258063 
1218727, 136.7280977647536, 30, 2109.5 
1219502, 135.75075792353206, 42, 2215.6666666666665 
1220217, 135.66375941642187, 23, 2199.4347826086955 
1220837, 137.71044522193267, 23, 2135.3478260869565 
1221175, 135.3432470815102, 21, 2225.095238095238 
1221183, 140.199499012164, 26, 1947.5 
1223356, 136.99529590362292, 39, 2261.3076923076924 
1223453, 134.99337404807642, 66, 2372.3636363636365 
1224204, 138.0144950538634, 27, 2117.4814814814813 
1226380, 134.37584869753474, 111, 2526.7837837837837 
1227130, 136.44915619078805, 25, 1905.84 
1227190, 132.52715826614318, 108, 2454.324074074074 
1227505, 135.73894385649922, 63, 2273.3333333333335 
1228161, 137.12672392967363, 25, 2117.72 
12300993, 135.1094291818496, 20, 2089.6 
1230220, 137.76232828195813, 21, 2125.190476190476 
1231367, 129.13164806123743, 22, 2147.5454545454545 
1232347, 135.37267875609746, 45, 2181.4222222222224 
1232622, 132.91151771163308, 58, 2244.155172413793 
1232703, 132.34947683484987, 24, 2174.5833333333335 
1233386, 124.89123533954145, 21, 2169.6666666666665 
1233688, 137.8848231903586, 26, 2038.7692307692307 
1233769, 130.24030633493462, 21, 2065.095238095238 
1233874, 133.30803947478572, 24, 2054.5416666666665 
1234765, 135.54668844756196, 45, 2022.5111111111112 
1234803, 139.57838854627556, 30, 1908.8 
1237071, 137.02540865535414, 26, 2057.8846153846152 
1237128, 136.42724468740397, 23, 2149.4347826086955 
1237551, 139.24577035364922, 34, 1964.1470588235295 
1237691, 134.73793525788838, 32, 2142.9375 
1238019, 133.6847292167702, 28, 2007.0714285714287 
1238175, 138.4608929582452, 22, 2082.0 
1239740, 134.54939982678212, 24, 2092.6666666666665 
12400025, 135.05757527610965, 27, 2403.8518518518517 
12400149, 135.22064426045432, 52, 2342.076923076923 
12400300, 131.5477941514761, 32, 2144.6875 
12400343, 139.31191805827916, 33, 2200.909090909091 
12401005, 128.7839590691265, 23, 2092.0434782608695 
12401013, 133.44764911105514, 66, 2205.378787878788 
12401064, 134.09513473096908, 103, 2298.6893203883496 
12401080, 133.64884376456945, 28, 2279.1428571428573 
12401102, 134.99796413549578, 47, 2171.744680851064 
12401110, 135.75336658608595, 51, 2549.2549019607845 
12401137, 134.65829594334807, 222, 2622.8783783783783 
12401153, 137.0002691228167, 38, 2446.184210526316 
12401226, 132.68032944139227, 48, 2224.7291666666665 
