fideid, sex, name, rating, country, title, k, birthday, avrisk, gamecount, oprating 
1051024, M, Kokje Joris, 2261, NED, FM, 20, 2001, 136.08548767091986, 24, 2245.875 
1051393, M, Emans Job, 2038, NED, NULL, 20, 2002, 132.16407234863996, 21, 2102.0 
1051563, F, Van Foreest Machteld, 2206, NED, FM, 40, 2007, 134.13735664443985, 33, 2217.2727272727275 
105198, M, Alonso Salvador, 2471, ARG, GM, 10, 1974, 132.69279657012234, 41, 2208.5365853658536 
105309, M, Peralta Fernando, 2587, ARG, GM, 10, 1979, 135.41938532009516, 85, 2431.176470588235 
1053361, M, Gijsen William, 2116, NED, NULL, 20, 2001, 136.58440819330488, 33, 2070.151515151515 
1053531, M, Elgersma Onno, 2312, NED, FM, 20, 2004, 133.53150353317412, 52, 2227.653846153846 
1053787, M, Wedda Dries, 2175, NED, NULL, 20, 2002, 138.04553373875635, 28, 2232.3214285714284 
1054414, M, Muntean Victor, 1914, SWE, NULL, 40, 2004, 133.72226971882864, 29, 2141.9655172413795 
1054430, M, Han Yichen, 2423, NED, FM, 10, 2007, 136.40974583251426, 52, 2110.1923076923076 
1054988, M, Pham Khoi, 2368, NED, FM, 20, 2005, 132.24105226568372, 22, 2246.3636363636365 
1057472, M, Grutter Tim, 2359, NED, FM, 20, 2003, 136.5098720251371, 30, 2287.5333333333333 
1057928, M, Ypma Jord, 2109, NED, NULL, 20, 2002, 134.63549531918582, 30, 2141.266666666667 
1058223, M, Shakhverdian William, 2133, NED, NULL, 40, 2004, 128.84082778398977, 26, 2123.5 
1058401, F, Roebers Eline, 2363, NED, IM, 20, 2006, 139.5155065265395, 25, 2082.12 
10600183, M, Hesham Abdelrahman, 2386, EGY, GM, 10, 1992, 137.8391487026358, 47, 2195.659574468085 
10600256, M, Sarwat Walaa, 2227, EGY, IM, 10, 1960, 137.36215237787877, 29, 2045.7586206896551 
10600620, M, Ameir Moheb, 2380, EGY, IM, 10, 1993, 135.0675062276654, 28, 2256.5 
10601457, M, Amin Bassem, 2685, EGY, GM, 10, 1988, 133.71756037718734, 179, 2586.117318435754 
10601619, M, Adly Ahmed, 2588, EGY, GM, 10, 1987, 135.68799900186144, 120, 2506.95 
10609962, F, Wafa Shahenda, 2097, EGY, WGM, 20, 1998, 143.3969743348627, 23, 2069.391304347826 
10613129, M, Fawzy Adham, 2483, EGY, GM, 10, 2000, 136.65799580671063, 30, 2417.0666666666666 
10614508, M, Omar Mohamed, 1853, EGY, NULL, 20, 1986, 135.79451932246772, 42, 1804.642857142857 
1067958, M, Brouwer Willem, 1623, NED, NULL, 20, 1951, 129.26649847810884, 25, 1772.28 
1068253, M, Albers Sasa, 2117, NED, NULL, 40, 2004, 140.37166125335898, 28, 2092.535714285714 
107069, M, Felgaer Ruben, 2572, ARG, GM, 10, 1981, 135.1006856698714, 59, 2452.3050847457625 
10800999, M, Gohil Mehul, 2012, KEN, NULL, 20, 1981, 139.6656960524998, 22, 2057.681818181818 
108049, M, Flores Diego, 2547, ARG, GM, 10, 1982, 134.4325844940222, 67, 2447.0597014925374 
108154, M, Real De Azua Ernesto, 2449, ARG, IM, 10, 1985, 136.73265420063095, 27, 2394.296296296296 
108448, M, Della Morte Pablo, 2263, ARG, IM, 10, 1982, 134.74590720644494, 21, 2235.5238095238096 
109746, M, Perdomo Leandro, 2432, ARG, IM, 10, 1985, 133.14045434317288, 50, 2236.56 
109860, M, Jimenez Joaquin, 2214, ARG, CM, 20, 1976, 136.34737390206527, 23, 2000.9565217391305 
109878, F, Lujan Carolina, 2319, ARG, IM, 10, 1985, 135.01568911807163, 25, 2267.88 
11000120, M, Makoto Rodwell, 2329, ZIM, IM, 10, 1987, 138.8195577951464, 42, 2223.5714285714284 
11000341, M, Chakanyuka Charles, 1948, ZIM, NULL, 20, 1973, 141.0303963864988, 28, 1980.7142857142858 
